,sex,age,studytime,failures,Dalc,Walc,G1,G2,G3
0,F,18,2,0,1,1,5,6,6
1,F,17,2,0,1,1,5,5,6
2,F,15,2,3,2,3,7,8,10
3,F,15,3,0,1,1,15,14,15
4,F,16,2,0,1,2,6,10,10
5,M,16,2,0,1,2,15,15,15
6,M,16,2,0,1,1,12,12,11
7,F,17,2,0,1,1,6,5,6
8,M,15,2,0,1,1,16,18,19
9,M,15,2,0,1,1,14,15,15
10,F,15,2,0,1,2,10,8,9
11,F,15,3,0,1,1,10,12,12
12,M,15,1,0,1,3,14,14,14
13,M,15,2,0,1,2,10,10,11
14,M,15,3,0,1,1,14,16,16
15,F,16,1,0,1,2,14,14,14
16,F,16,3,0,1,2,13,14,14
17,F,16,2,0,1,1,8,10,10
18,M,17,1,3,2,4,6,5,5
19,M,16,1,0,1,3,8,10,10
20,M,15,2,0,1,1,13,14,15
21,M,15,1,0,1,1,12,15,15
22,M,16,2,0,1,3,15,15,16
23,M,16,2,0,2,4,13,13,12
25,F,16,1,2,1,3,6,9,8
26,M,15,1,0,1,2,12,12,11
27,M,15,1,0,2,4,15,16,15
28,M,16,2,0,1,1,11,11,11
29,M,16,2,0,5,5,10,12,11
30,M,15,2,0,3,4,9,11,12
31,M,15,2,0,1,1,17,16,17
33,M,15,2,0,1,1,8,10,12
34,M,16,1,0,1,1,12,14,15
35,F,15,1,0,1,1,8,7,6
36,M,15,3,0,1,1,15,16,18
40,F,16,2,1,1,2,7,10,11
41,M,15,1,0,2,4,12,12,12
42,M,15,2,0,1,1,19,18,18
43,M,15,1,0,1,1,8,8,11
44,F,16,2,1,2,2,10,10,9
45,F,15,2,0,1,1,8,8,6
46,F,16,2,0,1,4,11,12,11
47,M,16,4,0,1,1,19,19,20
48,M,15,2,0,2,2,15,15,14
49,F,15,2,1,1,1,7,7,7
50,F,16,2,0,2,3,12,13,13
51,F,15,2,0,1,1,11,13,13
52,M,15,1,1,3,4,11,11,10
53,F,15,1,0,2,3,8,10,11
54,F,15,1,0,4,4,10,13,13
55,F,16,2,0,1,1,8,9,10
56,F,15,2,0,1,1,14,15,15
57,M,15,2,0,1,1,14,15,15
58,M,15,2,0,1,1,9,10,9
59,F,16,2,0,1,1,15,16,16
61,F,16,1,0,5,5,10,8,11
62,F,16,2,0,1,1,8,10,9
63,F,16,3,0,2,4,10,9,9
64,F,15,2,0,2,4,10,10,10
65,F,16,2,0,1,2,16,15,15
66,M,15,4,0,5,5,13,13,12
67,F,16,4,0,1,2,7,7,6
70,M,16,4,0,1,1,13,15,15
71,M,15,4,0,1,1,10,10,10
73,M,16,1,0,2,2,12,12,14
74,F,16,2,0,2,4,11,12,11
75,M,15,2,0,2,3,9,9,10
76,M,15,4,0,1,1,11,11,10
77,F,16,4,0,1,3,11,11,11
78,M,17,1,3,1,1,8,8,10
79,F,16,2,0,1,2,5,5,5
80,M,15,1,0,1,3,10,12,12
81,M,15,3,0,1,2,11,10,11
82,F,15,2,0,1,1,7,6,6
83,M,15,2,0,1,3,15,15,15
84,F,15,2,0,2,3,9,10,10
85,F,15,2,2,2,3,7,9,8
86,F,16,2,0,1,2,8,7,6
87,F,15,3,0,1,3,13,14,14
88,M,16,2,1,1,1,11,10,10
89,M,16,2,0,3,5,8,6,7
90,F,16,3,0,1,3,7,7,8
91,F,15,1,0,1,3,16,17,18
92,F,16,2,0,2,3,7,6,6
93,F,16,2,0,1,1,11,10,10
94,M,15,4,0,1,1,11,13,14
97,F,16,2,0,1,1,8,9,10
98,F,16,1,0,1,2,11,14,14
99,F,16,3,0,1,1,7,9,8
100,M,16,1,0,5,5,7,7,5
101,M,16,3,0,1,1,16,17,17
102,M,15,1,0,1,1,10,13,14
103,F,15,2,0,1,1,7,6,6
104,M,15,2,0,1,1,16,18,18
105,F,15,4,0,1,1,10,11,11
106,F,15,4,0,1,1,7,8,8
107,M,16,3,0,1,1,16,18,18
109,F,16,3,0,1,1,14,15,16
110,M,15,1,0,1,1,18,19,19
112,F,16,2,1,1,1,10,13,13
113,M,15,1,0,1,1,18,19,19
115,M,16,2,0,1,2,15,15,16
116,M,15,2,0,1,1,11,13,14
117,M,16,1,0,1,1,13,14,13
119,M,15,1,0,1,2,14,13,13
120,F,15,2,0,1,2,16,15,15
121,M,15,4,0,1,2,16,14,15
122,F,16,2,0,1,2,13,13,13
123,M,16,1,0,1,4,14,11,13
124,F,16,2,0,1,1,8,7,8
125,M,15,1,0,3,2,13,13,12
126,F,15,2,0,1,1,7,10,11
127,F,19,2,3,1,1,7,8,9
131,F,15,1,0,1,2,8,0,0
132,F,17,1,0,1,3,10,13,12
133,F,16,1,0,1,4,12,11,11
135,F,15,3,0,1,1,11,0,0
137,F,16,1,2,1,1,4,0,0
138,M,16,2,1,1,3,14,12,12
139,F,15,1,0,1,1,16,16,15
140,M,15,4,0,1,1,7,9,0
141,M,16,1,2,2,2,9,9,9
142,F,15,3,0,1,1,9,11,11
143,F,16,1,0,3,3,14,14,13
144,M,17,1,3,1,2,5,0,0
145,F,15,2,0,1,2,8,11,11
146,F,15,2,3,1,1,6,7,0
147,F,15,2,0,1,1,10,11,11
148,M,16,1,0,2,1,7,6,0
149,M,15,1,3,2,5,8,9,10
150,M,18,1,3,2,5,6,5,0
151,M,16,1,1,3,5,12,13,14
153,M,19,1,3,1,1,5,0,0
154,F,17,1,0,1,1,11,11,12
159,M,16,2,1,4,4,10,12,12
162,M,16,1,1,2,4,7,0,0
163,M,17,1,0,1,4,10,10,10
165,M,16,1,1,1,1,12,11,12
166,M,16,2,0,2,4,10,10,10
167,F,16,2,0,1,1,14,15,16
168,F,16,2,0,1,1,6,7,0
169,F,16,2,0,1,1,14,14,14
170,M,16,1,2,2,4,6,5,0
171,M,16,2,0,1,1,13,15,16
172,M,17,2,0,1,3,13,11,10
173,F,16,2,3,1,1,8,7,0
174,F,16,2,0,1,1,10,11,9
175,M,17,2,0,4,4,10,9,9
176,F,16,2,0,1,4,13,13,11
177,M,17,2,0,1,4,6,5,6
179,M,17,2,0,1,1,10,10,11
180,M,16,2,0,2,3,9,8,8
181,M,16,2,0,1,2,12,13,12
182,F,17,2,0,2,3,16,17,17
183,F,17,2,0,2,3,9,9,8
184,F,16,2,0,1,2,12,13,12
185,M,17,2,0,2,3,12,12,11
186,M,16,1,0,1,2,11,12,11
187,M,16,2,0,1,2,15,15,15
188,F,17,2,0,1,3,8,7,9
190,F,16,2,0,1,1,11,12,13
191,F,17,2,0,1,1,8,8,9
192,M,17,2,0,4,5,7,8,8
194,M,16,1,0,1,1,13,14,14
195,F,17,2,0,1,1,14,15,15
196,M,17,1,0,1,2,17,15,16
198,F,17,1,1,2,3,18,18,18
199,F,16,2,0,1,2,9,9,10
200,F,16,2,0,1,5,16,16,16
201,F,16,2,0,1,3,8,10,10
202,F,17,2,0,1,3,9,9,10
205,F,17,3,1,3,4,10,9,9
206,F,16,2,3,2,2,7,7,7
207,F,16,2,0,1,1,11,12,13
208,F,16,1,0,1,4,9,9,10
210,F,19,4,0,1,2,8,8,8
211,M,17,2,0,4,5,12,12,13
212,F,16,2,0,1,1,12,13,14
213,M,18,2,1,2,4,6,7,8
215,F,17,2,0,1,3,14,15,15
216,F,17,2,2,2,4,6,6,4
217,M,18,2,1,2,4,6,6,8
218,F,17,1,0,1,4,7,7,8
219,F,17,3,0,1,1,9,10,10
221,F,17,3,1,1,1,6,5,0
222,F,16,2,0,1,1,16,16,17
223,M,18,2,0,5,5,12,13,13
224,F,16,3,0,1,1,13,13,14
226,F,17,2,0,1,3,16,15,15
227,M,17,2,0,1,3,12,11,12
228,M,18,2,0,4,5,10,8,9
229,F,17,3,0,1,2,12,10,12
230,F,17,2,0,1,2,13,13,14
232,M,17,2,0,1,3,11,9,9
233,M,16,2,0,2,4,14,13,13
234,M,16,2,0,1,1,9,7,6
235,M,16,3,0,1,3,11,9,10
236,M,17,2,0,5,5,14,13,13
237,F,16,1,0,1,1,13,12,12
239,M,18,2,1,3,5,7,7,0
240,M,17,2,0,1,4,12,12,12
242,M,16,1,0,1,1,6,0,0
243,M,16,1,0,1,2,13,12,12
244,F,18,3,0,1,1,7,0,0
245,M,16,1,0,1,1,18,18,18
246,M,17,1,0,1,1,12,12,13
247,M,22,1,3,5,5,6,8,8
249,M,16,1,0,2,4,13,15,15
250,M,18,1,1,2,4,6,8,8
251,M,16,2,0,1,3,7,10,10
252,M,18,1,1,2,5,6,9,8
255,M,17,1,1,1,2,7,9,8
256,F,17,4,0,1,1,14,12,13
257,M,19,2,0,1,1,11,11,11
258,M,18,2,0,1,2,15,14,14
259,F,17,4,0,1,1,10,9,0
260,F,18,2,0,1,3,17,18,18
261,M,18,2,0,1,1,8,8,8
263,F,17,3,0,1,1,10,9,9
264,F,18,3,0,1,1,9,10,0
266,M,17,2,0,3,4,9,9,10
268,M,18,2,0,1,3,10,9,10
270,F,19,2,2,3,3,9,9,9
271,F,18,4,0,1,3,15,14,14
272,F,18,2,0,1,1,11,11,11
274,F,17,2,0,1,1,10,10,10
275,F,17,2,0,2,3,12,12,12
277,M,18,1,0,1,4,9,9,9
278,F,18,2,1,1,1,9,8,8
279,M,18,1,0,1,2,10,11,10
280,M,17,1,0,2,4,8,8,8
281,M,17,1,1,3,4,11,9,10
283,F,18,2,0,1,1,8,9,10
284,F,17,2,0,1,2,10,9,11
285,M,17,2,0,1,2,12,10,11
286,F,18,3,0,1,2,18,18,19
287,F,17,3,0,1,1,13,12,12
288,M,18,3,0,1,3,15,14,14
289,M,18,2,0,1,1,15,13,15
290,M,18,2,0,1,4,12,11,11
291,F,17,3,0,1,2,15,15,15
292,F,18,2,1,1,1,12,12,13
295,M,17,1,0,1,3,14,12,11
296,F,19,2,0,2,3,10,9,0
297,F,18,2,0,1,2,10,8,8
298,F,18,4,0,1,1,14,13,14
299,M,18,1,0,2,2,16,15,16
300,F,18,2,0,1,1,12,10,11
301,M,17,1,0,2,2,11,11,10
302,F,17,3,0,1,1,15,12,14
303,F,17,4,0,1,2,17,17,18
304,M,19,2,1,1,1,15,14,13
305,F,18,2,1,1,1,14,12,12
306,M,20,1,0,1,1,17,18,18
307,M,19,1,1,1,1,8,9,8
309,F,19,2,1,1,3,12,10,10
310,F,19,2,1,2,2,9,9,0
311,F,19,2,0,1,1,14,12,13
312,M,19,2,1,2,2,13,11,11
313,F,19,2,1,1,2,13,10,11
314,F,19,3,2,1,1,15,13,13
316,F,18,2,0,1,2,8,8,0
317,F,18,3,0,1,1,9,10,9
319,F,18,2,0,3,3,11,11,11
320,F,17,2,0,1,2,13,13,13
321,F,17,2,0,1,1,11,9,9
323,F,17,3,0,2,3,12,14,15
324,F,17,3,0,2,3,16,15,15
325,M,18,3,0,2,2,9,12,11
326,M,17,1,0,3,5,14,15,16
328,F,17,3,0,1,3,10,9,9
329,F,17,3,0,1,2,14,14,14
330,M,18,4,0,2,4,9,8,8
332,F,18,2,0,1,1,7,0,0
333,F,18,2,0,1,1,8,8,0
335,F,17,3,0,1,3,16,15,15
337,F,17,2,0,2,3,7,8,0
338,F,18,4,0,1,1,16,15,17
340,F,19,3,1,1,3,11,12,11
341,M,18,2,1,2,2,10,10,0
342,M,18,2,0,1,3,16,15,15
343,F,17,2,1,1,2,9,8,0
344,F,18,3,0,1,2,11,10,10
345,F,18,3,0,2,3,13,13,14
347,M,18,3,0,2,3,10,10,9
348,F,17,3,0,1,3,13,15,15
